CHOCOLATE NESTLÉ CHOKITO C/3 120G PT;R$ 3,87 
CHOCOLATE NESTLÉ SABORES 160G TL;R$ 4,92 
CHOCOLATE NESTLÉ SUFLAIR LEITE 130G TL;R$ 4,92 
CONFETI DE AMENDOIM M&M 49G C/2 PT;R$ 2,03 
CONFETI DE CHOCOLATE M&M 52G C/2 PT;R$ 2,03 
CONFETI LACTA CONFETI 80G PT;R$ 4,77 
DROPS HALLS SABORES C/3 111G PT;R$ 3,95 
PASTILHA TIC TAC LARANJA 16G UN;R$ 1,56 
PASTILHA TIC TAC MENTA 16G UN;R$ 1,56 
CARNE BOVINA ACEM PEDAÇO KG;R$ 10,59 
CARNE BOVINA ALCATRA PECA KG;R$ 17,46 
CARNE BOVINA CHA DE DENTRO PEDAÇO KG;R$ 16,95 
CARNE BOVINA CHA DE FORA PEDAÇO KG;R$ 14,49 
CARNE BOVINA CONTRA FILET PEDAÇO KG;R$ 21,91 
CARNE BOVINA FILET MIGNON KG;R$ 31,62 
CARNE BOVINA FRALDINHA TRADICIONAL KG;R$ 15,30 
CARNE BOVINA LAGARTO KG;R$ 16,89 
CARNE BOVINA MAMINHA TRADICIONAL KG;R$ 20,93 
CARNE BOVINA PATINHO PEDAÇO KG;R$ 17,06 
CARNE BOVINA PICANHA KG;R$ 26,90 
CARNE SUINA COSTELINHA KG;R$ 14,78 
CARNE SUINA LOMBO KG;R$ 17,83 
CARNE SUINA PERNIL COM OSSO KG;R$ 7,99 
CERA LIMPA LAVANDA OPTIMUM 500ML FR;R$ 5,55 
CERA LIMPA MADEIRA FOLHAS SECAS OPTIMUM 500ML FR;R$ 5,55 
CERA LIQUIDA AMARELA BRAVO CLASSIC 750ML FR;R$ 7,60 
CERA LIQUIDA AMARELA INGLEZA MAX 750ML FR;R$ 7,44 
CERA LIQUIDA ARDÓSIA INCOLOR INGLEZA MAX 850ML LT;R$ 7,32 
CERA LIQUIDA INCOLOR BRAVO CLASSIC 750ML FR;R$ 8,27 
CERA LIQUIDA INCOLOR BRAVO FLASH 750ML FR;R$ 9,46 
CERA LIQUIDA INCOLOR BRILHO FACIL 750ML FR;R$ 7,43 
CERA LIQUIDA INCOLOR BRILHOWAX 850ML LT;R$ 6,84 
CERA LIQUIDA INCOLOR INGLEZA AUTO BRILHO 850ML FR;R$ 8,47 
CERA LIQUIDA INCOLOR POLIFLOR PRATIC 750ML FR;R$ 7,71 
CERA LIQUIDA TACOLAC TRADIÇÃO 500ML FR;R$ 7,72 
CERA LIQUIDA VERDE INGLEZA MAX 750ML FR;R$ 7,58 
LUSTRA MÓVEIS BRAVO JOHNSON JASMIM 200ML FR;R$ 5,14 
LUSTRA MÓVEIS CREMOSO BRILHOL 500ML FR;R$ 3,19 
LUSTRA MÓVEIS POLIFLOR JASMIM 200ML FR;R$ 4,96 
CERVEJA ANTARCTICA 350ML LT;R$ 1,80 
CERVEJA ANTARCTICA SUB ZERO 473ML LT;R$ 1,92 
CERVEJA BAVARIA 350ML LT;R$ 1,19 
CERVEJA BOHEMIA 350ML LT;R$ 2,16 
CERVEJA BOHEMIA LONG NECK 355ML GF;R$ 2,21 
CERVEJA BRAHMA 350ML LT;R$ 1,88 
CERVEJA BRAHMA CHOPP 473ML LT;R$ 2,17 
CERVEJA BRAHMA EXTRA LONG NECK 355ML GF;R$ 2,15 
CERVEJA BRAHMA LONG NECK 355ML GF;R$ 2,01 
CERVEJA BRAHMA MALZBIER LONG NECK 355ML GF;R$ 2,51 
CERVEJA BUDWEISER LATA 350 ML;R$ 2,10 
CERVEJA BUDWEISER LONG NECK 343 ML;R$ 2,30 
CERVEJA CARACU 350ML LT;R$ 2,37 
CERVEJA HEINEKEN 350ML LT;R$ 2,25 
CERVEJA HEINEKEN LONG NECK 355ML GF;R$ 2,38 
CERVEJA ITAIPAVA 350ML LT;R$ 1,45 
CERVEJA ITAIPAVA 473ML LT;R$ 1,93 
CERVEJA KAISER 350ML LT;R$ 1,34 
CERVEJA KAISER PILSEN 473ML LT;R$ 1,63 
CERVEJA KAISER SUMMER DRAFT LONG NECK 355ML GF;R$ 2,36 
CERVEJA KRONENBIER 350ML LT;R$ 2,36 
CERVEJA NOVA SCHIN 350ML LT;R$ 1,46 
CERVEJA NOVA SCHIN 473ML LT;R$ 1,76 
CERVEJA SKOL 350ML LT;R$ 1,88 
CERVEJA SKOL 473ML LT;R$ 2,21 
CERVEJA SKOL LONG NECK 355ML GF;R$ 1,99 
CERVEJA STELLA ARTOIS 275ML GF;R$ 2,51 
CONDICIONADOR ELSEVE HYDRA MAX 200ML FR;R$ 9,63 
